"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"332049052592119808","","","2013-05-08 08:27:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sir Alex Ferguson is retiring at the end if the season. Such a sad day. Given the best 30 years in football history, #thankyousiralex!","","","",""
"331088785330798592","","","2013-05-05 16:51:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tough chinese troops has left but this should come as lesson to India that how can somebody have these much guts to come sit and enjoy !!","","","",""
"330750731705544704","","","2013-05-04 18:28:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","As the quote of the day is ""May the fourth be with you"", does that mean tomorrow is ""Revenge of the fifth""?","","","",""
"329439972711084032","","","2013-05-01 03:39:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Despite being eliminated, Real Madrid gave it their all today, hopefully Barcelona is blessed with the same fighting spirit and can win","","","",""
"328537089043988480","","","2013-04-28 15:52:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Robin Van Penalty. #GGMU #ARSMU","","","",""
"328200759315419136","","","2013-04-27 17:35:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Did I just hear 'cheater' being howled on Virat #Kohli by the Mumbai crowd? Jeez.. cut him some slack! #MIvsRCB #PepsiIPL","","","",""
"328197457248927745","328195482402828288","177547780","2013-04-27 17:22:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@cricketicc #IgoWOWwhen Amit Mishra's Hat trick Vs Pune Warriors on 17th April.","","","",""
"328194940674920448","","","2013-04-27 17:12:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Even Team India didn't celebrated such a way when they won World cup 2011... #Gayle wicket !!! #MIvsRCB #IPL","","","",""
"328166468392984576","","","2013-04-27 15:19:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @aurbolo: Akhilesh Yadav cancelled the lecture at Harvard. I think his ppt was there on laptop which crashed as he tried to remove his d…","328165831966081024","75025780","2013-04-27 15:16:46 +0000",""
"328166363879329792","","","2013-04-27 15:18:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hope #MI puts up a good score on board... or we might miss another GAYLE storm... #PepsiIPL #MIvsRCB","","","",""
"327019270917726209","","","2013-04-24 11:20:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","No matter what team u support, Gayle getting out early &amp; batsmen hitting 4s to Dale Styne really hurts! :'( #IPL6","","","",""
"323814970880049152","","","2013-04-15 15:07:59 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","Its a week of regional festivals. Ugadi, Padwa, Vishu and now time for some Shubho Nobo Borsho :)","","","",""
"323802682722750466","","","2013-04-15 14:19:10 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","Sanjay Dutt truly is a child at heart. Asks from SC for some Time Please!","","","",""
"321879535589150720","","","2013-04-10 06:57:16 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","Looking forward to this Google Bable thingy. 1 app to rule them all - messaging, video chatting, file sharing via phone or desktop.","","","",""
"320431122762833921","","","2013-04-06 07:01:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SunRisers Hyderabad trolled everybody with their performance last night. Almost sent TOI in coma :D http://t.co/kpM3S6GRnL","","","","https://twitter.com/deekshithmarla/status/320431122762833921/photo/1"
"317140182870683648","","","2013-03-28 05:04:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Google Play Store just got more awesome for us in India. You can now buy and rent movies!!
Thanks Google!!","","","",""
